index,Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019,Searches: Dec 2019,Searches: Jan 2020,Searches: Feb 2020,Searches: Mar 2020,Searches: Apr 2020,Searches: May 2020,Searches: Jun 2020,Concept: Service,Concept: Other Brands,Concept: Non-Brands,Concept: Others,keywordsplit
0,commercial video production,USD,50,Medium,60.0,5.19,16.24,,,,,,50,30,50,90,50,70,70,50,50,50,50,50,commercial video production,,Non-Brands,,"['commercial', 'video', 'production']"
5,commercial video production services,USD,10,Unknown,,,,,,,,,10,0,0,10,0,10,10,10,10,10,0,0,commercial video production,,Non-Brands,,"['commercial', 'video', 'production', 'services']"
7,product video service,USD,20,High,91.0,4.7,13.08,,,,,,10,10,10,30,20,20,20,20,20,20,30,20,,,Non-Brands,,"['product', 'video', 'service']"
8,branded video production,USD,20,Medium,45.0,6.36,11.52,,,,,,10,10,10,10,10,20,30,40,30,30,20,20,,,Non-Brands,,"['branded', 'video', 'production']"
10,explainer video production house,USD,0,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Non-Brands,,"['explainer', 'video', 'production', 'house']"
11,b2b video production,USD,10,High,97.0,,,,,,,,20,10,0,10,10,10,10,10,10,10,10,10,,,Non-Brands,,"['b2b', 'video', 'production']"
15,youtube video production services,USD,10,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,,youtube,,,"['youtube', 'video', 'production', 'services']"
16,conference video production,USD,10,Medium,43.0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,event video production,,Non-Brands,,"['conference', 'video', 'production']"
18,local video production,USD,10,High,100.0,,,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,,,Non-Brands,,"['local', 'video', 'production']"
20,destination video production,USD,0,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Non-Brands,,"['destination', 'video', 'production']"
21,dragonfly video production,USD,10,Low,0.0,,,,,,,,0,10,0,0,10,10,10,10,10,10,10,10,,,Non-Brands,,"['dragonfly', 'video', 'production']"
28,international video production,USD,10,Medium,57.0,,,,,,,,10,0,0,0,10,0,0,0,0,0,0,10,,,Non-Brands,,"['international', 'video', 'production']"
29,online video production services,USD,10,Unknown,,,,,,,,,0,0,10,10,0,10,10,10,10,10,0,0,,,Non-Brands,,"['online', 'video', 'production', 'services']"
31,video production company services,USD,10,Unknown,,,,,,,,,10,0,10,10,0,10,0,0,10,10,10,0,corporate video production,,Non-Brands,,"['video', 'production', 'company', 'services']"
36,live action video production,USD,10,High,74.0,2.07,8.48,,,,,,10,0,0,10,10,10,10,10,10,10,10,10,,,Non-Brands,,"['live', 'action', 'video', 'production']"
37,dfw video production,USD,10,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0,,dfw video,,,"['dfw', 'video', 'production']"
38,vista video production,USD,10,Low,14.0,,,,,,,,10,10,0,10,0,0,0,10,10,10,10,10,,,Non-Brands,,"['vista', 'video', 'production']"
42,event video production companies,USD,10,Low,0.0,,,,,,,,10,0,10,10,0,10,10,10,10,10,10,10,"corporate video production, event video production",,Non-Brands,,"['event', 'video', 'production', 'companies']"
44,list of video production services,USD,10,Unknown,,,,,,,,,10,10,10,10,0,0,10,10,10,0,0,0,,,Non-Brands,,"['list', 'of', 'video', 'production', 'services']"
47,video production houses near me,USD,10,High,71.0,,,,,,,,0,10,0,10,0,10,10,10,10,10,0,10,,,Non-Brands,,"['video', 'production', 'houses', 'near', 'me']"
48,video production package,USD,10,High,97.0,2.02,4.42,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,,,Non-Brands,,"['video', 'production', 'package']"
49,product demo video service,USD,10,High,100.0,,,,,,,,0,10,0,10,10,0,0,0,0,0,0,10,,,Non-Brands,,"['product', 'demo', 'video', 'service']"
50,service video production,USD,10,Unknown,,,,,,,,,0,0,0,10,10,10,10,10,0,10,10,0,,,Non-Brands,,"['service', 'video', 'production']"
52,whiteboard animation video production,USD,10,Medium,50.0,,,,,,,,0,10,0,10,10,10,10,10,10,10,10,10,,,Non-Brands,,"['whiteboard', 'animation', 'video', 'production']"
54,2d explainer video company,USD,10,Unknown,,,,,,,,,0,0,0,0,0,10,10,0,0,0,10,0,,,Non-Brands,,"['2d', 'explainer', 'video', 'company']"
56,internal communications video production,USD,10,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,10,10,0,0,,,Non-Brands,,"['internal', 'communications', 'video', 'production']"
